,playerID,stint,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
389,howrybo01,17.0,45.0,52.0,769.0,0.0,0.0,0.0,66.0,731.0,336.0,93.0,253.0,653.0,0.25535714285714284,3.8391874735505715,42.0,24.0,29.0,1.0,3321.0,295.0,366.0,30.0,32.0,0.0,787.6666666666666
390,beckejo02,16.0,138.0,106.0,335.0,332.0,12.0,6.0,0.0,1897.0,884.0,238.0,629.0,1901.0,0.24259999999999998,3.8790833739639208,28.0,59.0,76.0,3.0,8579.0,1.0,957.0,66.0,41.0,4.0,2050.9999999999995
391,pottene01,19.0,92.0,97.0,349.0,177.0,89.0,6.0,22.0,1721.0,748.0,123.0,582.0,747.0,0.24799999999999997,3.99288256227758,0.0,40.0,21.0,6.0,7248.0,126.0,843.0,0.0,0.0,0.0,1686.0
392,bentola01,17.0,127.0,128.0,455.0,258.0,122.0,13.0,22.0,2559.0,1029.0,109.0,691.0,670.0,0.294,4.0317805833696125,0.0,47.0,25.0,1.0,9864.0,113.0,1190.0,0.0,0.0,0.0,2297.0
393,bannifl01,15.0,134.0,143.0,431.0,363.0,62.0,16.0,0.0,2320.0,1078.0,291.0,846.0,1723.0,0.2546666666666667,4.062814070351758,39.0,84.0,40.0,9.0,10187.0,13.0,1189.0,0.0,0.0,0.0,2388.0000000000005
394,hunteca01,15.0,224.0,166.0,500.0,476.0,181.0,42.0,1.0,2958.0,1248.0,374.0,954.0,2012.0,0.23066666666666671,3.2562814070351758,57.0,49.0,49.0,7.0,14032.0,6.0,1380.0,0.0,0.0,0.0,3449.3333333333335
395,ponsosi01,18.0,91.0,113.0,298.0,278.0,29.0,4.0,1.0,2004.0,983.0,223.0,609.0,1031.0,0.2785714285714286,5.025752698352584,19.0,53.0,45.0,3.0,7676.0,7.0,1051.0,32.0,36.0,0.0,1760.3333333333335
396,petryda01,18.0,125.0,104.0,370.0,300.0,52.0,11.0,1.0,1984.0,912.0,218.0,852.0,1063.0,0.25533333333333336,3.945521551033488,74.0,77.0,47.0,7.0,8860.0,22.0,1025.0,0.0,0.0,0.0,2080.3333333333335
397,bielemi01,16.0,70.0,73.0,347.0,178.0,7.0,4.0,5.0,1236.0,572.0,116.0,496.0,783.0,0.25666666666666665,4.181965881397239,45.0,51.0,19.0,15.0,5329.0,48.0,633.0,0.0,0.0,0.0,1230.9999999999998
398,wheelda01,17.0,25.0,43.0,589.0,9.0,0.0,0.0,43.0,589.0,283.0,89.0,194.0,555.0,0.23746666666666663,3.975546305931321,32.0,20.0,13.0,2.0,2680.0,187.0,298.0,19.0,23.0,0.0,640.6666666666667
399,griffto02,16.0,77.0,94.0,401.0,191.0,29.0,10.0,5.0,1407.0,676.0,133.0,769.0,1054.0,0.25266666666666665,4.070472792149866,66.0,81.0,52.0,20.0,6576.0,53.0,762.0,0.0,0.0,0.0,1494.6666666666665
400,gullibi01,16.0,162.0,136.0,398.0,390.0,54.0,11.0,0.0,2659.0,1118.0,282.0,622.0,1279.0,0.2786666666666667,3.93046875,82.0,56.0,34.0,8.0,10744.0,3.0,1228.0,0.0,0.0,0.0,2560.0
401,alvarwi01,16.0,102.0,92.0,355.0,263.0,12.0,5.0,4.0,1624.0,769.0,190.0,805.0,1330.0,0.28164285714285714,3.9601373259584207,29.0,28.0,50.0,4.0,7518.0,18.0,857.0,17.0,11.0,0.0,1747.6666666666667
402,harenda01,17.0,153.0,131.0,391.0,380.0,16.0,6.0,1.0,2357.0,1009.0,305.0,500.0,2013.0,0.25586666666666663,3.752996280479405,39.0,98.0,67.0,5.0,10022.0,4.0,1105.0,78.0,63.0,5.0,2419.6666666666665
403,larocda01,16.0,65.0,58.0,647.0,15.0,1.0,0.0,126.0,919.0,411.0,94.0,459.0,819.0,0.24400000000000002,3.525095298602288,81.0,18.0,29.0,7.0,4459.0,381.0,448.0,0.0,0.0,0.0,1049.333333333333
404,carpech01,15.0,144.0,94.0,350.0,332.0,33.0,15.0,0.0,2205.0,927.0,220.0,627.0,1697.0,0.25064285714285717,3.7592370081105435,23.0,51.0,85.0,3.0,9305.0,6.0,1021.0,66.0,35.0,0.0,2219.3333333333335
405,learyti01,17.0,78.0,105.0,292.0,224.0,25.0,9.0,1.0,1570.0,723.0,147.0,535.0,888.0,0.2566666666666667,4.363209655789003,45.0,87.0,52.0,13.0,6437.0,28.0,792.0,0.0,0.0,0.0,1491.3333333333333
406,mcwilla01,17.0,78.0,90.0,370.0,224.0,34.0,13.0,3.0,1548.0,690.0,137.0,542.0,940.0,0.2633333333333333,3.9850267379679147,58.0,52.0,52.0,15.0,6702.0,44.0,768.0,0.0,0.0,0.0,1558.3333333333333
407,raganpa01,20.0,77.0,104.0,283.0,182.0,93.0,12.0,6.0,1555.0,534.0,38.0,470.0,680.0,0.2606666666666667,2.988186528497409,0.0,11.0,25.0,3.0,6660.0,72.0,694.0,0.0,0.0,0.0,1608.3333333333335
408,reyesal01,17.0,23.0,16.0,384.0,2.0,0.0,0.0,32.0,340.0,182.0,53.0,195.0,422.0,0.17335714285714285,3.8211508553654743,14.0,13.0,25.0,1.0,1817.0,150.0,190.0,8.0,10.0,0.0,428.6666666666667
409,myersra01,16.0,44.0,63.0,728.0,12.0,1.0,0.0,347.0,758.0,314.0,69.0,396.0,884.0,0.20692307692307696,3.194423511680482,43.0,32.0,12.0,2.0,3744.0,548.0,338.0,0.0,0.0,0.0,884.6666666666667
410,keefeti01,16.0,342.0,225.0,600.0,594.0,554.0,39.0,2.0,4439.0,1472.0,81.0,1220.0,2562.0,0.9278571428571428,2.6245790134055342,0.0,233.0,96.0,0.0,20975.0,7.0,2468.0,0.0,0.0,0.0,5047.666666666666
411,daussho01,15.0,222.0,182.0,538.0,388.0,245.0,22.0,40.0,3407.0,1245.0,87.0,1067.0,1201.0,0.25733333333333336,3.3046598505701925,0.0,48.0,121.0,4.0,14203.0,121.0,1599.0,0.0,0.0,0.0,3390.666666666667
412,allenjo02,17.0,142.0,75.0,352.0,241.0,109.0,17.0,18.0,1849.0,813.0,104.0,738.0,1070.0,0.24466666666666667,3.7516663818150744,0.0,68.0,38.0,5.0,8292.0,68.0,924.0,0.0,0.0,0.0,1950.3333333333333
413,woodke02,16.0,86.0,75.0,446.0,178.0,11.0,5.0,63.0,1083.0,563.0,148.0,666.0,1582.0,0.22485714285714287,3.6717391304347826,22.0,64.0,99.0,6.0,5863.0,138.0,599.0,52.0,39.0,0.0,1380.0
414,stottto01,16.0,138.0,121.0,372.0,339.0,25.0,6.0,1.0,2200.0,1042.0,246.0,816.0,1587.0,0.2423846153846154,4.278935361216729,49.0,64.0,83.0,10.0,9441.0,12.0,1130.0,4.0,3.0,0.0,2191.666666666667
415,brownmo01,16.0,239.0,130.0,481.0,332.0,271.0,55.0,49.0,2708.0,725.0,43.0,673.0,1375.0,2.186666666666667,2.0568456446359145,0.0,59.0,63.0,4.0,12642.0,138.0,1044.0,0.0,0.0,0.0,3172.3333333333335
416,laniema01,16.0,108.0,82.0,327.0,204.0,91.0,21.0,17.0,1490.0,541.0,65.0,611.0,821.0,0.256,3.0067929188966653,0.0,13.0,18.0,8.0,6772.0,62.0,630.0,0.0,0.0,0.0,1619.3333333333333
417,davisdo02,18.0,92.0,108.0,306.0,286.0,7.0,3.0,0.0,1813.0,846.0,180.0,783.0,1279.0,0.2647333333333333,4.437925004857198,28.0,63.0,44.0,10.0,7597.0,4.0,921.0,100.0,45.0,0.0,1715.6666666666667
418,lucasre01,15.0,157.0,135.0,396.0,301.0,204.0,22.0,7.0,2736.0,1051.0,136.0,455.0,602.0,0.2780000000000001,3.7210857592446893,0.0,7.0,23.0,6.0,10648.0,70.0,1198.0,0.0,0.0,0.0,2542.0
419,lapoida01,18.0,80.0,86.0,294.0,227.0,11.0,4.0,1.0,1598.0,664.0,117.0,559.0,802.0,0.2893333333333334,4.019730941704036,47.0,53.0,17.0,25.0,6471.0,17.0,748.0,0.0,0.0,0.0,1486.6666666666667
